time_min,water_uptake,TPV,HPV
268,0.329093567,25,90.71
268.5,0.329532164,24.99,90.75
269,0.328362573,24.99,90.75
269.5,0.330116959,24.99,90.74
270,0.331432749,24.99,90.85
270.5,0.32997076,25,90.85
271,0.329385965,24.99,90.76
271.5,0.329239766,24.99,90.54
272,0.329239766,24.98,90.5
272.5,0.331140351,24.98,90.45
273,0.329824561,24.98,90.45
273.5,0.330263158,24.99,90.35
274,0.329678363,24.98,90.14
274.5,0.328947368,24.98,90.11
275,0.331871345,24.98,90.19
275.5,0.329824561,24.99,90.07
276,0.328508772,24.99,90.1
276.5,0.330994152,25,90.19
277,0.333918129,25,90.07
277.5,0.331871345,24.99,90.06
278,0.331871345,24.99,90.04
278.5,0.332894737,24.99,90.02
279,0.331578947,24.99,89.95
279.5,0.33245614,24.99,89.98
280,0.329532164,24.99,89.99
280.5,0.332163743,25,89.88
281,0.332163743,24.99,89.9
281.5,0.33245614,25,90.04
282,0.33128655,25,90.06
282.5,0.334064327,24.99,89.89
283,0.332602339,25,89.85
283.5,0.33377193,24.99,89.87
284,0.332894737,25,90.03
284.5,0.333187135,25,89.99
285,0.333040936,24.99,90.09
285.5,0.333625731,24.99,89.92
286,0.332309942,24.99,89.95
286.5,0.335526316,25,89.95
287,0.331871345,25,90.05
287.5,0.332309942,25,90.06
288,0.331725146,25,90.09
288.5,0.334649123,24.99,90.14
289,0.332602339,25,90.29
289.5,0.335087719,25,90.14
290,0.335526316,24.99,90.06
290.5,0.335672515,24.99,90
291,0.335526316,24.99,90.07
291.5,0.335526316,24.99,90
292,0.335672515,24.99,89.96
292.5,0.335526316,24.98,89.92
293,0.335672515,24.98,89.9
293.5,0.335672515,24.99,89.85
294,0.335818713,24.99,89.97
294.5,0.335818713,25,90.04
